document_id,company,stock_code,report_year,document_type,supporting_subtype,relative_path,filename,file_size,is_missing,parse_status,page_count,notes
600682_2024_reply_3e70f259,南京新百,600682,2024,reply,,02_raw_pdf/600682_南京新百/reply/600682_南京新百关于上海证券交易所对公司2024年年度报告的信息披露监管问询函回复公告1784025276054.pdf,600682_南京新百关于上海证券交易所对公司2024年年度报告的信息披露监管问询函回复公告1784025276054.pdf,451527,False,success,44,
600682_2024_supporting_e03732d3,南京新百,600682,2024,supporting,,02_raw_pdf/600682_南京新百/supporting/600682_北京中名国成会计师事务所特殊普通合伙关于南京新百2024年年报问询函回复的核查意见1784025278288.pdf,600682_北京中名国成会计师事务所特殊普通合伙关于南京新百2024年年报问询函回复的核查意见1784025278288.pdf,35543556,False,needs_ocr,51,needs_ocr_pages=51
600822_2024_annual_report_5328d606,上海物贸,600822,2024,annual_report,,02_raw_pdf/600822_上海物贸/annual_report/600822_上海物贸2024年年度报告1783930991381.pdf,600822_上海物贸2024年年度报告1783930991381.pdf,3398698,False,success,164,
600822_2024_missing_notice_inquiry_ff9b96e3,上海物贸,600822,2024,missing_notice,,02_raw_pdf/600822_上海物贸/inquiry/MISSING.txt,MISSING.txt,265,True,skipped_missing,0,missing marker under inquiry
600822_2024_reply_538169f1,上海物贸,600822,2024,reply,,02_raw_pdf/600822_上海物贸/reply/600822_关于回复上海证券交易所2024年年度报告的信息披露监管问询函的公告1784018887312.pdf,600822_关于回复上海证券交易所2024年年度报告的信息披露监管问询函的公告1784018887312.pdf,321906,False,success,32,
600822_2024_supporting_b721d909,上海物贸,600822,2024,supporting,,02_raw_pdf/600822_上海物贸/supporting/600822_立信会计师事务所关于公司2024年年度报告的信息披露监管问询函回复的核查意见1784018887109.pdf,600822_立信会计师事务所关于公司2024年年度报告的信息披露监管问询函回复的核查意见1784018887109.pdf,680317,False,success,26,
603466_2024_annual_report_27fbbbae,风语筑,603466,2024,annual_report,,02_raw_pdf/603466_风语筑/annual_report/603466_风语筑2024年年度报告1783930993272.pdf,603466_风语筑2024年年度报告1783930993272.pdf,3881236,False,success,176,
603466_2024_missing_notice_inquiry_aa83fd0f,风语筑,603466,2024,missing_notice,,02_raw_pdf/603466_风语筑/inquiry/MISSING.txt,MISSING.txt,289,True,skipped_missing,0,missing marker under inquiry
603466_2024_reply_7bc33821,风语筑,603466,2024,reply,,02_raw_pdf/603466_风语筑/reply/603466_上海风语筑文化科技股份有限公司关于2024年年度报告信息披露监管问询函的回复公告1784018350615.pdf,603466_上海风语筑文化科技股份有限公司关于2024年年度报告信息披露监管问询函的回复公告1784018350615.pdf,352653,False,success,28,
603466_2025_supporting_069984f9,风语筑,603466,2025,supporting,,02_raw_pdf/603466_风语筑/supporting/603466_天职业字202533298号关于上海风语筑文化科技股份有限公司2024年年度报告的信息披露监管问询函的回复1784018347474.pdf,603466_天职业字202533298号关于上海风语筑文化科技股份有限公司2024年年度报告的信息披露监管问询函的回复1784018347474.pdf,10797028,False,needs_ocr,35,needs_ocr_pages=35
603629_2024_annual_report_ece95a6f,利通电子,603629,2024,annual_report,,02_raw_pdf/603629_利通电子/annual_report/603629_利通电子2024年年度报告1784024826105.pdf,603629_利通电子2024年年度报告1784024826105.pdf,1439434,False,success,238,
603629_2024_missing_notice_inquiry_44128791,利通电子,603629,2024,missing_notice,,02_raw_pdf/603629_利通电子/inquiry/MISSING.txt,MISSING.txt,1165,True,skipped_missing,0,missing marker under inquiry
603629_2024_missing_notice_reply_9284584e,利通电子,603629,2024,missing_notice,,02_raw_pdf/603629_利通电子/reply/MISSING.txt,MISSING.txt,1356,True,skipped_missing,0,missing marker under reply
603629_2024_supporting_auditor_reply_04735515,利通电子,603629,2024,supporting,auditor_reply,02_raw_pdf/603629_利通电子/supporting/auditor_reply/603629_603629天健会计师事务所关于利通电子2024年年报问询函之专项说明1784025606312.pdf,603629_603629天健会计师事务所关于利通电子2024年年报问询函之专项说明1784025606312.pdf,1624943,False,partial_needs_ocr,23,needs_ocr_pages=1
603629_2024_supporting_independent_director_3c135282,利通电子,603629,2024,supporting,independent_director,02_raw_pdf/603629_利通电子/supporting/independent_director/603629_603629利通电子独立董事关于上海证券交易所问询函所涉事项的独立意见1784025606844.pdf,603629_603629利通电子独立董事关于上海证券交易所问询函所涉事项的独立意见1784025606844.pdf,113309,False,success,2,
603922_2024_annual_report_c986d680,金鸿顺,603922,2024,annual_report,,02_raw_pdf/603922_金鸿顺/annual_report/603922_金鸿顺2024年年度报告1784017283013.pdf,603922_金鸿顺2024年年度报告1784017283013.pdf,1273890,False,success,208,
603922_2024_missing_notice_inquiry_a80dc4a3,金鸿顺,603922,2024,missing_notice,,02_raw_pdf/603922_金鸿顺/inquiry/MISSING.txt,MISSING.txt,1542,True,skipped_missing,0,missing marker under inquiry
603922_2024_reply_cbd5801d,金鸿顺,603922,2024,reply,,02_raw_pdf/603922_金鸿顺/reply/603922_关于金鸿顺2024年年度报告的信息披露监管问询函的回复公告1784019392526.pdf,603922_关于金鸿顺2024年年度报告的信息披露监管问询函的回复公告1784019392526.pdf,405320,False,success,30,
603922_2024_supporting_7337e2b4,金鸿顺,603922,2024,supporting,,02_raw_pdf/603922_金鸿顺/supporting/603922_华兴会计师事务所特殊普通合伙关于苏州金鸿顺汽车部件股份有限公司2024年年度报告的信息披露监管问询函的回复1784019392788.pdf,603922_华兴会计师事务所特殊普通合伙关于苏州金鸿顺汽车部件股份有限公司2024年年度报告的信息披露监管问询函的回复1784019392788.pdf,4180231,False,partial_needs_ocr,36,needs_ocr_pages=3
688363_2024_annual_report_f105e824,华熙生物,688363,2024,annual_report,,02_raw_pdf/688363_华熙生物/annual_report/688363_华熙生物2024年年度报告1784027262503.pdf,688363_华熙生物2024年年度报告1784027262503.pdf,2166284,False,success,313,
688363_2024_missing_notice_inquiry_ba7bb9ba,华熙生物,688363,2024,missing_notice,,02_raw_pdf/688363_华熙生物/inquiry/MISSING.txt,MISSING.txt,1441,True,skipped_missing,0,missing marker under inquiry
688363_2024_reply_44c33ea1,华熙生物,688363,2024,reply,,02_raw_pdf/688363_华熙生物/reply/688363_华熙生物关于2024年年度报告的信息披露监管问询函的回复公告1784027105202.pdf,688363_华熙生物关于2024年年度报告的信息披露监管问询函的回复公告1784027105202.pdf,593034,False,success,50,
688363_2024_supporting_auditor_reply_bf52df92,华熙生物,688363,2024,supporting,auditor_reply,02_raw_pdf/688363_华熙生物/supporting/auditor_reply/688363_致同会计师事务所特殊普通合伙关于华熙生物科技股份有限公司2024年年度报告的信息披露监管问询函中有关财务会计问题的专项说明1784027105811.pdf,688363_致同会计师事务所特殊普通合伙关于华熙生物科技股份有限公司2024年年度报告的信息披露监管问询函中有关财务会计问题的专项说明1784027105811.pdf,19051508,False,needs_ocr,45,needs_ocr_pages=45
688611_2024_annual_report_6b6e1698,杭州柯林,688611,2024,annual_report,,02_raw_pdf/688611_杭州柯林/annual_report/688611_杭州柯林2024年年度报告1784027431154.pdf,688611_杭州柯林2024年年度报告1784027431154.pdf,4328337,False,success,234,
688611_2024_missing_notice_inquiry_8eadb3d6,杭州柯林,688611,2024,missing_notice,,02_raw_pdf/688611_杭州柯林/inquiry/688611_杭州柯林_2024_原始监管问询函_MISSING.txt,688611_杭州柯林_2024_原始监管问询函_MISSING.txt,1774,True,skipped_missing,0,missing marker under inquiry
688611_2024_reply_962da366,杭州柯林,688611,2024,reply,,02_raw_pdf/688611_杭州柯林/reply/688611_杭州柯林电气股份有限公司关于2024年年度报告的信息披露监管问询函的回复公告1784027318685.pdf,688611_杭州柯林电气股份有限公司关于2024年年度报告的信息披露监管问询函的回复公告1784027318685.pdf,738977,False,success,61,
688611_2024_supporting_auditor_reply_8d6b18dc,杭州柯林,688611,2024,supporting,auditor_reply,02_raw_pdf/688611_杭州柯林/supporting/auditor_reply/688611_天健会计师事务所特殊普通合伙关于杭州柯林电气股份有限公司2024年年度报告的信息披露监管问询函的专项说明1784027318998.pdf,688611_天健会计师事务所特殊普通合伙关于杭州柯林电气股份有限公司2024年年度报告的信息披露监管问询函的专项说明1784027318998.pdf,1911738,False,success,57,
688611_2024_supporting_sponsor_or_broker_79065e1b,杭州柯林,688611,2024,supporting,sponsor_or_broker,02_raw_pdf/688611_杭州柯林/supporting/sponsor_or_broker/688611_浙商证券股份有限公司关于杭州柯林电气股份有限公司2024年年度报告的信息披露监管问询函的回复1784027318311.pdf,688611_浙商证券股份有限公司关于杭州柯林电气股份有限公司2024年年度报告的信息披露监管问询函的回复1784027318311.pdf,1089640,False,partial_needs_ocr,56,needs_ocr_pages=1
688685_2024_annual_report_f1a4cde5,迈信林,688685,2024,annual_report,,02_raw_pdf/688685_迈信林/annual_report/688685_迈信林2024年年度报告1784024825606.pdf,688685_迈信林2024年年度报告1784024825606.pdf,1520077,False,success,258,
688685_2024_missing_notice_inquiry_f38e58bf,迈信林,688685,2024,missing_notice,,02_raw_pdf/688685_迈信林/inquiry/MISSING.txt,MISSING.txt,1621,True,skipped_missing,0,missing marker under inquiry
688685_2024_reply_2e62f915,迈信林,688685,2024,reply,,02_raw_pdf/688685_迈信林/reply/688685_江苏迈信林航空科技股份有限公司关于上海证券交易所对公司2024年年度报告的信息披露监管问询函的回复公告1784025973187.pdf,688685_江苏迈信林航空科技股份有限公司关于上海证券交易所对公司2024年年度报告的信息披露监管问询函的回复公告1784025973187.pdf,558585,False,success,88,
688685_2024_supporting_auditor_reply_b12dfc9c,迈信林,688685,2024,supporting,auditor_reply,02_raw_pdf/688685_迈信林/supporting/auditor_reply/688685_立信会计师事务所特殊普通合伙关于对江苏迈信林航空科技股份有限公司2024年年度报告的信息披露监管问询函的回复1784026121950.pdf,688685_立信会计师事务所特殊普通合伙关于对江苏迈信林航空科技股份有限公司2024年年度报告的信息披露监管问询函的回复1784026121950.pdf,39889464,False,needs_ocr,68,needs_ocr_pages=68
688685_2024_supporting_sponsor_or_broker_f0f300f1,迈信林,688685,2024,supporting,sponsor_or_broker,02_raw_pdf/688685_迈信林/supporting/sponsor_or_broker/688685_国泰海通证券股份有限公司关于江苏迈信林航空科技股份有限公司2024年年度报告的信息披露监管问询函的核查意见1784025974031.pdf,688685_国泰海通证券股份有限公司关于江苏迈信林航空科技股份有限公司2024年年度报告的信息披露监管问询函的核查意见1784025974031.pdf,2208554,False,partial_needs_ocr,80,needs_ocr_pages=1
688793_2024_annual_report_0f5112b9,倍轻松,688793,2024,annual_report,,02_raw_pdf/688793_倍轻松/annual_report/688793_倍轻松2024年年度报告1784027226229.pdf,688793_倍轻松2024年年度报告1784027226229.pdf,1966959,False,success,274,
688793_2024_missing_notice_inquiry_7e55575c,倍轻松,688793,2024,missing_notice,,02_raw_pdf/688793_倍轻松/inquiry/MISSING.txt,MISSING.txt,1734,True,skipped_missing,0,missing marker under inquiry
688793_2024_reply_1257454f,倍轻松,688793,2024,reply,,02_raw_pdf/688793_倍轻松/reply/688793_深圳市倍轻松科技股份有限公司关于2024年年度报告的信息披露监管问询函的回复公告1784026976394.pdf,688793_深圳市倍轻松科技股份有限公司关于2024年年度报告的信息披露监管问询函的回复公告1784026976394.pdf,4232355,False,partial_needs_ocr,218,needs_ocr_pages=2
688793_2024_supporting_auditor_reply_20a18e8a,倍轻松,688793,2024,supporting,auditor_reply,02_raw_pdf/688793_倍轻松/supporting/auditor_reply/688793_天健会计师事务所特殊普通合伙关于深圳市倍轻松科技股份有限公司2024年年度报告的信息披露监管问询函的专项说明1784026974878.pdf,688793_天健会计师事务所特殊普通合伙关于深圳市倍轻松科技股份有限公司2024年年度报告的信息披露监管问询函的专项说明1784026974878.pdf,4354502,False,success,145,
834033_2024_annual_report_9f76c622,康普化学,834033,2024,annual_report,,02_raw_pdf/834033_康普化学/annual_report/834033_康普化学2024年年度报告1784024826637.pdf,834033_康普化学2024年年度报告1784024826637.pdf,3310588,False,partial_needs_ocr,158,needs_ocr_pages=1
834033_2024_missing_notice_inquiry_0e049c54,康普化学,834033,2024,missing_notice,,02_raw_pdf/834033_康普化学/inquiry/MISSING.txt,MISSING.txt,1351,True,skipped_missing,0,missing marker under inquiry
834033_2024_reply_a7d8748c,康普化学,834033,2024,reply,,02_raw_pdf/834033_康普化学/reply/834033_关于对北京证券交易所2024年年报问询函回复的公告1784026304740.pdf,834033_关于对北京证券交易所2024年年报问询函回复的公告1784026304740.pdf,467711,False,success,46,
834033_2024_supporting_auditor_reply_0ac5ae72,康普化学,834033,2024,supporting,auditor_reply,02_raw_pdf/834033_康普化学/supporting/auditor_reply/834033_天健会计师事务所特殊普通合伙关于重庆康普化学工业股份有限公司2024年年报问询函的专项说明1784026304990.pdf,834033_天健会计师事务所特殊普通合伙关于重庆康普化学工业股份有限公司2024年年报问询函的专项说明1784026304990.pdf,1296396,False,success,24,
835174_2024_annual_report_35ffd001,五新隧装,835174,2024,annual_report,,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,835174_五新隧装2024年年度报告1784024828340.pdf,9941925,False,partial_needs_ocr,206,needs_ocr_pages=13
835174_2024_missing_notice_inquiry_7bf7c07e,五新隧装,835174,2024,missing_notice,,02_raw_pdf/835174_五新隧装/inquiry/MISSING.txt,MISSING.txt,1216,True,skipped_missing,0,missing marker under inquiry
835174_2024_missing_notice_reply_2e28b7de,五新隧装,835174,2024,missing_notice,,02_raw_pdf/835174_五新隧装/reply/MISSING.txt,MISSING.txt,1316,True,skipped_missing,0,missing marker under reply
835174_2024_supporting_auditor_reply_ec40aed1,五新隧装,835174,2024,supporting,auditor_reply,02_raw_pdf/835174_五新隧装/supporting/auditor_reply/835174_天健会计师事务所关于湖南五新隧道智能装备股份有限公司2024年年报问询函的专项说明1784026512675.pdf,835174_天健会计师事务所关于湖南五新隧道智能装备股份有限公司2024年年报问询函的专项说明1784026512675.pdf,1482168,False,success,35,
